ID.o,Price, Volume, TradeTime, EventTime, Offer, Bid, Buyer, Seller, buyerID, sellerID, Realized Tot , R per Tr ,UnReal Q,U per tr Q, Unreal Tot $ ,User Volu,User%ofTotalVolu,Total Volu,TradeCount,1st HourVolu,1stHourUserVolu,1stHour?,last HourVolu,lastHourUserVolu,lastHour?,1stHR_Usr/1SThR_Tot,lastH-Usr/LAST-HR-Tot,1stHR_Usr/TOT_vol,lastH-Usr/TOT_vol,VWAP,Price*V,Range,(p2/p1)-1,ln(p2/p1),Net,Volat = stdev of LN,User Buy,User Sell,User Vol Traded (Buy+Sell),,,,,,,,,,,,Qualify
S3C10b0,20.4,19,12:57:16,12440,20.4,20.2,Server,Server,0,0,-131.2,0,0,0,0,910,27.0672%,3362,56,1148,180,0,2874,550,1,15.6794%,19.1371%,0.05353956,5.69217E-05,20.30029756,387.6,,0.02941,2.89875369%,-131.2,,455,455,910,,,,,,,,,,,,B
S3C10A0,20.9,25,12:57:30,12453,20.800001,20.6,Server,Server,0,0,-594.8,0,-10,0,-209,2028,41.1860%,4924,104,2812,691,0,2702,485,1,24.5733%,17.9497%,0.140333063,3.64534E-05,20.24750206,522.5,,0.00957,0.95238815%,-803.8,,1009,1019,2028,,,,,,,,,,,,A
S37b08T,20.6,46,12:54:46,12288,21,20.6,Server,Server,0,10,4915.399901,947.6,-244,-46,-5026.4,2570,54.6111%,4706,110,2044,534,0,2796,736,1,26.1252%,26.3233%,0.113472163,5.59357E-05,20.25144502,947.6,,0.00000,0.00000000%,-111.000099,,1163,1407,2570,,,,,,,,,,,,B
S2C908T,20.9,13,12:59:26,12568,20.9,20.7,Server,Server,0,0,67.5,0,0,0,0,990,29.4994%,3356,41,2016,495,0,2450,495,1,24.5536%,20.2041%,0.14749702,6.02029E-05,20.34469609,271.7,,0.00000,0.00000000%,67.5,,495,495,990,,,,,,,,,,,,
S2C808T,20.9,18,12:52:30,12154,20.9,20.5,Server,Server,0,0,74,0,0,0,0,240,8.9720%,2675,13,788,52,0,2206,120,1,6.5990%,5.4397%,0.019439252,2.03354E-05,20.29416831,376.2,,0.00478,0.47732788%,74,,120,120,240,,,,,,,,,,,,
S2C708T,21,13,12:49:33,11976,21,20.9,Server,Server,0,0,5769.999994,0,-292,0,-6132,2470,53.4864%,4618,101,1914,297,0,2474,589,1,15.5172%,23.8076%,0.064313556,5.15539E-05,20.13116068,273,,0.00000,0.00000000%,-362.000006,,1089,1381,2470,,,,,,,,,,,,
S2C508T,21,2,12:50:44,12047,20.5,20.2,Server,Server,0,0,721.600042,0,-36,0,-756,790,26.6982%,2959,38,1088,236,0,1974,11,1,21.6912%,0.5572%,0.079756675,1.88322E-06,20.23768168,42,,-0.02381,-2.40975516%,-34.399958,,377,413,790,,,,,,,,,,,,
S2C408T,20.5,46,12:59:24,12566,20.5,20.2,Server,Server,0,10,8562.50025,943,-417,-46,-8548.5,1461,42.9832%,3399,66,1596,383,0,2560,495,1,23.9975%,19.3359%,0.1126802,5.68871E-05,20.22388949,943,,0.00488,0.48661897%,14.00025,,522,939,1461,,,,,,,,,,,,
S2C308T,21,15,12:52:41,12163,20.5,20.4,Server,Server,0,0,10663.80016,0,-528,0,-11088,570,19.0635%,2990,35,802,7,0,2642,255,1,0.8728%,9.6518%,0.002341137,3.22802E-05,20.28799341,315,,0.00000,0.00000000%,-424.199842,,21,549,570,,,,,,,,,,,,
S2C208T,21,4,12:57:22,12444,20.6,20.4,Server,Server,0,0,144.500005,0,-8,0,-168,302,10.4970%,2877,53,838,30,0,2106,66,1,3.5800%,3.1339%,0.010427529,1.0893E-05,20.33180399,84,,-0.01905,-1.92313619%,-23.499995,,147,155,302,,,,,,,,,,,,
